s_city_id,s_lon,s_lat,Colonne1,e_City,e_lat,e_lon,Column1
0,-8.419,31.133,900,Meknes,33.8984131,-5.5321582,
1,-8.419,31.133,900,Meknes,33.8984131,-5.5321582,
2,-8.419,31.133,505,Rabat,34.02236,-6.8340222,
3,-8.419,31.133,505,Rabat,34.02236,-6.8340222,
4,-8.419,31.133,505,Rabat,34.02236,-6.8340222,
5,-8.419,31.133,403,Fes,34.0346534,-5.0161926,
6,-8.42,31.132,403,Fes,34.0346534,-5.0161926,
7,-8.42,31.132,403,Fes,34.0346534,-5.0161926,
8,-8.42,31.132,505,Rabat,34.02236,-6.8340222,
9,-8.42,31.132,505,Rabat,34.02236,-6.8340222,
10,-8.42,31.132,505,Rabat,34.02236,-6.8340222,
11,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
12,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
13,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
14,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
15,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
16,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
17,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
18,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
19,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
20,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
21,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
22,-8.42,31.131,302,Casablanca,33.5945144,-7.6200284,
23,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
24,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
25,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
26,-8.42,31.131,505,Rabat,34.02236,-6.8340222,
27,-8.421,31.127,505,Rabat,34.02236,-6.8340222,
28,-8.421,31.126,505,Rabat,34.02236,-6.8340222,
29,-8.422,31.125,505,Rabat,34.02236,-6.8340222,
30,-8.423,31.125,505,Rabat,34.02236,-6.8340222,
31,-8.42,31.126,505,Rabat,34.02236,-6.8340222,
32,-8.42,31.126,505,Rabat,34.02236,-6.8340222,
33,-8.42,31.126,505,Rabat,34.02236,-6.8340222,
34,-8.42,31.126,505,Rabat,34.02236,-6.8340222,
35,-8.456,30.923,505,Rabat,34.02236,-6.8340222,
36,-8.456,30.923,505,Rabat,34.02236,-6.8340222,
37,-8.456,30.922,505,Rabat,34.02236,-6.8340222,
38,-8.455,30.922,505,Rabat,34.02236,-6.8340222,
39,-8.454,30.921,505,Rabat,34.02236,-6.8340222,
40,-8.451,30.921,505,Rabat,34.02236,-6.8340222,
41,-8.443,30.917,505,Rabat,34.02236,-6.8340222,
42,-8.444,30.917,505,Rabat,34.02236,-6.8340222,
43,-8.444,30.917,505,Rabat,34.02236,-6.8340222,
44,-8.443,30.917,505,Rabat,34.02236,-6.8340222,
45,-8.443,30.917,505,Rabat,34.02236,-6.8340222,
46,-8.44,30.918,505,Casablanca,33.5945144,-7.6200284,
47,-8.439,30.919,505,Rabat,34.02236,-6.8340222,
48,-8.438,30.919,505,Rabat,34.02236,-6.8340222,
49,-8.428,30.916,505,Casablanca,33.5945144,-7.6200284,
50,-8.427,30.916,505,Rabat,34.02236,-6.8340222,
51,-8.427,30.916,505,Rabat,34.02236,-6.8340222,
52,-8.426,30.916,505,Rabat,34.02236,-6.8340222,
53,-8.426,30.916,505,Rabat,34.02236,-6.8340222,
54,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
55,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
56,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
57,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
58,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
59,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
60,-8.426,30.915,505,Rabat,34.02236,-6.8340222,
61,-8.426,30.915,302,Casablanca,33.5945144,-7.6200284,
62,-8.426,30.915,302,Casablanca,33.5945144,-7.6200284,
63,-8.426,30.915,302,Casablanca,33.5945144,-7.6200284,
64,-8.425,30.916,505,Rabat,34.02236,-6.8340222,
65,-8.425,30.915,505,Rabat,34.02236,-6.8340222,
66,-8.425,30.916,505,Rabat,34.02236,-6.8340222,
67,-8.425,30.916,505,Rabat,34.02236,-6.8340222,
68,-8.425,30.915,505,Rabat,34.02236,-6.8340222,
69,-8.409,30.909,505,Rabat,34.02236,-6.8340222,
70,-8.409,30.909,505,Rabat,34.02236,-6.8340222,
71,-8.409,30.909,505,Rabat,34.02236,-6.8340222,
72,-8.405,30.904,505,Rabat,34.02236,-6.8340222,
73,-8.405,30.904,505,Rabat,34.02236,-6.8340222,
74,-8.405,30.904,505,Rabat,34.02236,-6.8340222,
75,-8.405,30.903,505,Rabat,34.02236,-6.8340222,
76,-8.406,30.904,505,Rabat,34.02236,-6.8340222,
77,-8.406,30.904,505,Rabat,34.02236,-6.8340222,
78,-8.397,30.902,505,Rabat,34.02236,-6.8340222,
79,-8.396,30.902,505,Rabat,34.02236,-6.8340222,
80,-8.395,30.903,505,Rabat,34.02236,-6.8340222,
81,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
82,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
83,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
84,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
85,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
86,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
87,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
88,-8.395,30.902,505,Rabat,34.02236,-6.8340222,
89,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
90,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
91,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
92,-8.389,30.898,505,Rabat,34.02236,-6.8340222,
93,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
94,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
95,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
96,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
97,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
98,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
99,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
100,-8.388,30.899,505,Rabat,34.02236,-6.8340222,
101,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
102,-8.389,30.898,505,Rabat,34.02236,-6.8340222,
103,-8.389,30.898,505,Rabat,34.02236,-6.8340222,
104,-8.389,30.899,505,Rabat,34.02236,-6.8340222,
105,-8.388,30.899,403,Fes,34.0346534,-5.0161926,
106,-8.388,30.9,403,Fes,34.0346534,-5.0161926,
107,-8.388,30.9,403,Fes,34.0346534,-5.0161926,
108,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
109,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
110,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
111,-8.388,30.899,505,Rabat,34.02236,-6.8340222,
112,-8.388,30.899,505,Rabat,34.02236,-6.8340222,
113,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
114,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
115,-8.388,30.9,505,Rabat,34.02236,-6.8340222,
116,-8.388,30.901,505,Rabat,34.02236,-6.8340222,
117,-8.384,30.9,505,Rabat,34.02236,-6.8340222,
118,-8.384,30.9,505,Rabat,34.02236,-6.8340222,
119,-8.385,30.9,505,Rabat,34.02236,-6.8340222,
120,-8.383,30.899,505,Rabat,34.02236,-6.8340222,
121,-8.425,30.9,505,Rabat,34.02236,-6.8340222,
122,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
123,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
124,-8.426,30.9,505,Rabat,34.02236,-6.8340222,
125,-8.426,30.9,505,Rabat,34.02236,-6.8340222,
126,-8.426,30.901,505,Rabat,34.02236,-6.8340222,
